Date,PM2.5 AQI Value,Site Name,Site ID,Source
01/01/2011,119,Intermediate School 143,36-061-0115,AQS
01/02/2011,76,Intermediate School 143,36-061-0115,AQS
01/03/2011,57,Intermediate School 143,36-061-0115,AQS
01/04/2011,86,Elizabeth Lab,34-039-0004,AQS
01/05/2011,72,Intermediate School 143,36-061-0115,AQS
01/06/2011,69,Eisenhower Park,36-059-0005,AQS
01/07/2011,79,Intermediate School 143,36-061-0115,AQS
01/08/2011,76,Intermediate School 143,36-061-0115,AQS
01/09/2011,61,Intermediate School 143,36-061-0115,AQS
01/10/2011,59,Intermediate School 143,36-061-0115,AQS
01/11/2011,61,Intermediate School 143,36-061-0115,AQS
01/12/2011,65,Intermediate School 143,36-061-0115,AQS
01/13/2011,57,Intermediate School 143,36-061-0115,AQS
01/14/2011,70,Intermediate School 143,36-061-0115,AQS
01/15/2011,84,Morrisania,36-005-0080,AQS
01/16/2011,86,Intermediate School 143,36-061-0115,AQS
01/17/2011,104,Intermediate School 143,36-061-0115,AQS
01/18/2011,60,Intermediate School 143,36-061-0115,AQS
01/19/2011,67,Intermediate School 143,36-061-0115,AQS
01/20/2011,60,Intermediate School 143,36-061-0115,AQS
01/21/2011,71,Intermediate School 143,36-061-0115,AQS
01/22/2011,60,Intermediate School 143,36-061-0115,AQS
01/23/2011,71,Intermediate School 143,36-061-0115,AQS
01/24/2011,64,Mamaroneck,36-119-1002,AQS
01/25/2011,93,Intermediate School 143,36-061-0115,AQS
01/26/2011,102,Elizabeth Lab,34-039-0004,AQS
01/27/2011,74,Ps 19,36-061-0128,AQS
01/28/2011,97,Elizabeth Lab,34-039-0004,AQS
01/29/2011,81,Elizabeth Lab,34-039-0004,AQS
01/30/2011,80,Elizabeth Lab,34-039-0004,AQS
01/31/2011,81,Intermediate School 143,36-061-0115,AQS
02/01/2011,76,Intermediate School 143,36-061-0115,AQS
02/02/2011,68,Intermediate School 143,36-061-0115,AQS
02/03/2011,59,Jersey City Firehouse,34-017-1003,AQS
02/04/2011,82,Intermediate School 143,36-061-0115,AQS
02/05/2011,89,Intermediate School 143,36-061-0115,AQS
02/06/2011,71,Jersey City Firehouse,34-017-1003,AQS
02/07/2011,87,Intermediate School 143,36-061-0115,AQS
02/08/2011,66,Intermediate School 143,36-061-0115,AQS
02/09/2011,64,Intermediate School 143,36-061-0115,AQS
02/10/2011,62,Jersey City Firehouse,34-017-1003,AQS
02/11/2011,73,Elizabeth Lab,34-039-0004,AQS
02/12/2011,72,Intermediate School 143,36-061-0115,AQS
02/13/2011,65,Intermediate School 143,36-061-0115,AQS
02/14/2011,59,Intermediate School 143,36-061-0115,AQS
02/15/2011,57,Intermediate School 143,36-061-0115,AQS
02/16/2011,59,Intermediate School 143,36-061-0115,AQS
02/17/2011,98,Intermediate School 143,36-061-0115,AQS
02/18/2011,82,Intermediate School 143,36-061-0115,AQS
02/19/2011,56,Intermediate School 143,36-061-0115,AQS
02/20/2011,65,Intermediate School 143,36-061-0115,AQS
02/21/2011,72,Intermediate School 143,36-061-0115,AQS
02/22/2011,64,Intermediate School 143,36-061-0115,AQS
02/23/2011,79,Is 45,36-061-0079,AQS
02/24/2011,82,Intermediate School 143,36-061-0115,AQS
02/25/2011,64,Intermediate School 143,36-061-0115,AQS
02/26/2011,53,Intermediate School 143,36-061-0115,AQS
02/27/2011,71,Intermediate School 143,36-061-0115,AQS
02/28/2011,65,Intermediate School 143,36-061-0115,AQS
03/01/2011,62,Intermediate School 143,36-061-0115,AQS
03/02/2011,56,Intermediate School 143,36-061-0115,AQS
03/03/2011,60,Intermediate School 143,36-061-0115,AQS
03/04/2011,58,Ps 154,36-005-0113,AQS
03/05/2011,41,Ps 154,36-005-0113,AQS
03/06/2011,32,Intermediate School 143,36-061-0115,AQS
03/07/2011,45,Intermediate School 143,36-061-0115,AQS
03/08/2011,64,Intermediate School 143,36-061-0115,AQS
03/09/2011,54,Intermediate School 143,36-061-0115,AQS
03/10/2011,55,Intermediate School 143,36-061-0115,AQS
03/11/2011,53,Intermediate School 143,36-061-0115,AQS
03/12/2011,57,Intermediate School 143,36-061-0115,AQS
03/13/2011,56,Intermediate School 143,36-061-0115,AQS
03/14/2011,56,Intermediate School 143,36-061-0115,AQS
03/15/2011,65,Intermediate School 143,36-061-0115,AQS
03/16/2011,64,Elizabeth Lab,34-039-0004,AQS
03/17/2011,58,Intermediate School 143,36-061-0115,AQS
03/18/2011,61,Intermediate School 143,36-061-0115,AQS
03/19/2011,37,Maspeth Library,36-081-0120,AQS
03/20/2011,52,Intermediate School 143,36-061-0115,AQS
03/21/2011,53,Ps 154,36-005-0113,AQS
03/22/2011,48,Intermediate School 143,36-061-0115,AQS
03/23/2011,56,Intermediate School 143,36-061-0115,AQS
03/24/2011,60,Intermediate School 143,36-061-0115,AQS
03/25/2011,50,Intermediate School 143,36-061-0115,AQS
03/26/2011,49,Intermediate School 143,36-061-0115,AQS
03/27/2011,39,Intermediate School 143,36-061-0115,AQS
03/28/2011,40,Queens College 2,36-081-0124,AQS
03/29/2011,51,Is 74,36-005-0112,AQS
03/30/2011,41,Is 74,36-005-0112,AQS
03/31/2011,49,Intermediate School 143,36-061-0115,AQS
04/01/2011,42,Intermediate School 143,36-061-0115,AQS
04/02/2011,53,Intermediate School 143,36-061-0115,AQS
04/03/2011,54,Jersey City Firehouse,34-017-1003,AQS
04/04/2011,78,Freshkills West,36-085-0111,AQS
04/05/2011,57,Intermediate School 143,36-061-0115,AQS
04/06/2011,55,Is 74,36-005-0112,AQS
04/07/2011,63,Elizabeth Lab,34-039-0004,AQS
04/08/2011,73,Elizabeth Lab,34-039-0004,AQS
04/09/2011,72,Division Street,36-061-0134,AQS
04/10/2011,53,Intermediate School 143,36-061-0115,AQS
04/11/2011,70,Intermediate School 143,36-061-0115,AQS
04/12/2011,40,Holtsville,36-103-0009,AQS
04/13/2011,49,Elizabeth Lab,34-039-0004,AQS
04/14/2011,75,Is 74,36-005-0112,AQS
04/15/2011,34,Intermediate School 143,36-061-0115,AQS
04/16/2011,35,Elizabeth Lab,34-039-0004,AQS
04/17/2011,35,Intermediate School 143,36-061-0115,AQS
04/18/2011,47,Division Street,36-061-0134,AQS
04/19/2011,64,Intermediate School 143,36-061-0115,AQS
04/20/2011,71,Newark Firehouse,34-013-0003,AQS
04/21/2011,34,Holtsville,36-103-0009,AQS
04/22/2011,43,Intermediate School 143,36-061-0115,AQS
04/23/2011,56,Intermediate School 143,36-061-0115,AQS
04/24/2011,66,Division Street,36-061-0134,AQS
04/25/2011,76,Elizabeth Lab,34-039-0004,AQS
04/26/2011,61,Elizabeth Lab,34-039-0004,AQS
04/27/2011,59,Division Street,36-061-0134,AQS
04/28/2011,43,Elizabeth Lab,34-039-0004,AQS
04/29/2011,35,Elizabeth Lab,34-039-0004,AQS
04/30/2011,39,New Brunswick,34-023-0006,AQS
05/01/2011,37,Rahway,34-039-2003,AQS
05/02/2011,42,Elizabeth Lab,34-039-0004,AQS
05/03/2011,65,Division Street,36-061-0134,AQS
05/04/2011,28,Maspeth Library,36-081-0120,AQS
05/05/2011,20,Rahway,34-039-2003,AQS
05/06/2011,52,Ps 154,36-005-0113,AQS
05/07/2011,43,Eisenhower Park,36-059-0005,AQS
05/08/2011,42,Ps 19,36-061-0128,AQS
05/09/2011,40,Queens College 2,36-081-0124,AQS
05/10/2011,29,Ps 19,36-061-0128,AQS
05/11/2011,42,Toms River,34-029-2002,AQS
05/12/2011,64,Elizabeth Mitchell Bldg,34-039-0006,AQS
05/13/2011,34,Elizabeth Lab,34-039-0004,AQS
05/14/2011,30,Ps 19,36-061-0128,AQS
05/15/2011,65,Elizabeth Lab,34-039-0004,AQS
05/16/2011,54,Elizabeth Lab,34-039-0004,AQS
05/17/2011,41,Elizabeth Lab,34-039-0004,AQS
05/18/2011,51,Rahway,34-039-2003,AQS
05/19/2011,52,Elizabeth Lab,34-039-0004,AQS
05/20/2011,61,Jersey City Firehouse,34-017-1003,AQS
05/21/2011,66,Division Street,36-061-0134,AQS
05/22/2011,48,Flemington,34-019-0001,AQS
05/23/2011,52,Ps 19,36-061-0128,AQS
05/24/2011,75,Union City,34-017-2002,AQS
05/25/2011,62,Elizabeth Lab,34-039-0004,AQS
05/26/2011,84,Elizabeth Lab,34-039-0004,AQS
05/27/2011,88,Elizabeth Lab,34-039-0004,AQS
05/28/2011,56,Elizabeth Lab,34-039-0004,AQS
05/29/2011,56,Flemington,34-019-0001,AQS
05/30/2011,69,Fort Lee Library,34-003-0003,AQS
05/31/2011,66,Elizabeth Lab,34-039-0004,AQS
06/01/2011,101,Elizabeth Lab,34-039-0004,AQS
06/02/2011,51,New Brunswick,34-023-0006,AQS
06/03/2011,40,Elizabeth Lab,34-039-0004,AQS
06/04/2011,46,Ps 19,36-061-0128,AQS
06/05/2011,37,Flemington,34-019-0001,AQS
06/06/2011,56,Elizabeth Lab,34-039-0004,AQS
06/07/2011,79,Ps 19,36-061-0128,AQS
06/08/2011,96,Eisenhower Park,36-059-0005,AQS
06/09/2011,114,Jersey City Firehouse,34-017-1003,AQS
06/10/2011,75,Elizabeth Lab,34-039-0004,AQS
06/11/2011,58,Toms River,34-029-2002,AQS
06/12/2011,40,Jersey City Firehouse,34-017-1003,AQS
06/13/2011,29,Elizabeth Lab,34-039-0004,AQS
06/14/2011,38,Newark Firehouse,34-013-0003,AQS
06/15/2011,53,Jersey City Firehouse,34-017-1003,AQS
06/16/2011,61,Elizabeth Lab,34-039-0004,AQS
06/17/2011,58,Elizabeth Lab,34-039-0004,AQS
